formulas,mpid,Wf,label,A-A,A-B,A-C,B-B,B-C,C-C,lattice constant,N,k,n_A,n_B,n_C,ionic r_A,ionic r_B,ionic r_C,electronegativity_A,electronegativity_B,electronegativity_C,r_A,r_B,r_C,m_A,m_B,m_C,group_A,group_B,group_C,period_A,period_B,period_C,absolute boiling point_A,absolute boiling point_B,absolute boiling point_C,absolute melting point_A,absolute melting point_B,absolute melting point_C,covalent r_A,covalent r_B,covalent r_C,s_A,s_B,s_C,p_A,p_B,p_C,d_A,d_B,d_C,electron affinity_A,electron affinity_B,electron affinity_C,first ionization energy_A,first ionization energy_B,first ionization energy_C,heat of fusion_A,heat of fusion_B,heat of fusion_C,heat of vaporization_A,heat of vaporization_B,heat of vaporization_C,polarizability_A,polarizability_B,polarizability_C,atomic number_A,atomic number_B,atomic number_C,3d,second ionization energy_A,second ionization energy_B,second ionization energy_C,boiling point_A,boiling point_B,boiling point_C,melting point_A,melting point_B,melting point_C
AgH3O2,mp-769355,5.28,1,3.045451536,5,2.130610922,5,0.977510208,5,6.081299782,12,0.506774982,1,3,2,115,37,140,1.93,2.2,3.44,144,53,73,107.8,1,16,11,1,16,5,1,2,2435,20.28,90.2,1234.93,14.01,54.8,145,31,66,1,1,2,0,0,4,10,0,0,125.6,72.8,141,731,1312,1313.9,11.3,0.56,0.22,255,0.45,3.41,7.2,0.67,0.8,47,1,8,FALSE,2070,1312,3388.3,2162,-252.87,-182.9,961.78,-259.14,-218.3
AgNO2,mp-5770,6.62,1,5,2.229419828,2.451183022,5,1.264869378,5,5.110300064,4,1.277575016,1,1,2,115,16,140,1.93,3.04,3.44,144,75,73,107.8,14,16,11,15,16,5,2,2,2435,77.36,90.2,1234.93,63.05,54.8,145,71,66,1,2,2,0,3,4,10,0,0,125.6,7,141,731,1402.3,1313.9,11.3,0.36,0.22,255,2.79,3.41,7.2,1.1,0.8,47,7,8,FALSE,2070,2856,3388.3,2162,-195.79,-182.9,961.78,-210.1,-218.3
Al3Te3I,mp-28693,3.65,1,2.553383054,2.698829136,2.500971305,5,5,5,4.152999878,14,0.296642848,3,3,1,54,221,220,1.61,2.1,2.66,143,135,133,27,127.6,126.9,13,16,17,3,5,5,2792,1261,457.4,933.47,722.66,386.85,121,138,139,2,2,2,1,4,5,0,10,10,42.5,190.2,295.2,577.5,869.3,1008.4,10.7,17.5,7.76,293,48,20.9,6.8,5.5,4.7,13,52,53,FALSE,1816.7,1790,1845.9,2519,988,184.3,660.32,449.51,113.7
AlBiBr6,mp-31268,7.32,1,5,5,2.340336322,5,2.895411312,5,11.06919956,16,0.691824973,1,1,6,54,103,196,1.61,1.9,2.96,143,146,114,27,209,79.9,13,15,17,3,6,4,2792,1837,332,933.47,544.4,265.8,121,148,120,2,2,2,1,3,5,0,10,10,42.5,91.2,324.6,577.5,703,1139.9,10.7,10.9,5.8,293,160,14.8,6.8,7.4,3.05,13,83,35,FALSE,1816.7,1610,2103,2519,1564,59,660.32,271.3,-7.3
AlPS4,mp-27462,5.75,1,5,5,2.265907091,5,2.067399959,5,5.692671334,6,0.948778556,1,1,4,54,17,184,1.61,2.19,2.58,143,106,102,27,31,32.1,13,15,16,3,3,3,2792,553.6,717.87,933.47,317.3,388.36,121,107,105,2,2,2,1,3,4,0,0,0,42.5,71,200,577.5,1011.8,999.6,10.7,0.64,1.73,293,12.4,9.8,6.8,3.63,2.9,13,15,16,FALSE,1816.7,1907,2252,2519,280.5,444.72,660.32,44.2,115.21
As2PbS4,mp-19941,5.56,1,5,5,2.799382062,5,2.353376837,5,3.759500027,7,0.537071432,1,2,4,119,58,184,1.8,2.18,2.58,175,119,102,207.2,74.9,32.1,14,15,16,6,4,3,2022,887,717.87,600.61,1090,388.36,146,119,105,2,2,2,2,3,4,10,10,0,35.1,78,200,715.6,947,999.6,4.77,27.7,1.73,178,32.4,9.8,6.8,4.31,2.9,82,33,16,FALSE,1450.5,1798,2252,1749,614,444.72,327.46,817,115.21
AsSeI,mp-505373,5.77,1,5,2.628357415,2.92218579,5,5,5,3.96420002,6,0.660700003,1,1,1,58,198,220,2.18,2.55,2.66,119,116,133,74.9,78.9,126.9,15,16,17,4,4,5,887,958,457.4,1090,494,386.85,119,120,139,2,2,2,3,4,5,10,10,10,78,195,295.2,947,941,1008.4,27.7,5.4,7.76,32.4,26,20.9,4.31,3.77,4.7,33,34,53,FALSE,1798,2045,1845.9,614,685,184.3,817,221,113.7
AuBrF6,mp-30159,8.34,1,5,5,1.978255458,5,1.976317707,5,5.788000107,8,0.723500013,1,1,6,85,196,133,2.4,2.96,3.98,144,114,71,197,79.9,18.9,11,17,17,6,4,2,3129,332,85.03,1337.33,265.8,53.5,136,120,57,1,2,2,0,5,5,10,10,0,222.8,324.6,328,890.1,1139.9,1681,12.5,5.8,0.26,330,14.8,3.27,5.8,3.05,0.56,79,35,9,FALSE,1980,2103,3374.2,2856,59,-188.12,1064.18,-7.3,-219.6
AuSeBr,mp-27199,6.83,1,5,2.529011402,2.454008463,5,5,5,7.141300201,12,0.59510835,1,1,1,85,198,196,2.4,2.55,2.96,144,116,114,197,78.9,79.9,11,16,17,6,4,4,3129,958,332,1337.33,494,265.8,136,120,120,1,2,2,0,4,5,10,10,10,222.8,195,324.6,890.1,941,1139.9,12.5,5.4,5.8,330,26,14.8,5.8,3.77,3.05,79,34,35,FALSE,1980,2045,2103,2856,685,59,1064.18,221,-7.3
Bi3O4F,mp-760758,5.9,1,5,2.277309361,2.344651881,5,5,5,3.540699959,16,0.221293747,3,4,1,103,140,133,1.9,3.44,3.98,146,73,71,209,16,18.9,15,16,17,6,2,2,1837,90.2,85.03,544.4,54.8,53.5,148,66,57,2,2,2,3,4,5,10,0,0,91.2,141,328,703,1313.9,1681,10.9,0.22,0.26,160,3.41,3.27,7.4,0.8,0.56,83,8,9,FALSE,1610,3388.3,3374.2,1564,-182.9,-188.12,271.3,-218.3,-219.6
Bi4RuBr2,mp-541772,5.2,1,3.217047167,2.867434931,2.980436784,2.856454365,5,5,6.870500088,14,0.490750006,4,1,2,103,68,196,1.9,2.2,2.96,146,134,114,209,101,79.9,15,8,17,6,5,4,1837,4423,332,544.4,2607,265.8,148,146,120,2,1,2,3,0,5,10,7,10,91.2,101.3,324.6,703,710.2,1139.9,10.9,25.7,5.8,160,580,14.8,7.4,9.6,3.05,83,44,35,FALSE,1610,1620,2103,1564,4150,59,271.3,2334,-7.3
Bi4RuI2,mp-541771,5.2,1,3.218600606,2.870209068,3.193642539,2.863902542,5,5,6.883600235,14,0.491685731,4,1,2,103,68,220,1.9,2.2,2.66,146,134,133,209,101,126.9,15,8,17,6,5,5,1837,4423,457.4,544.4,2607,386.85,148,146,139,2,1,2,3,0,5,10,7,10,91.2,101.3,295.2,703,710.2,1008.4,10.9,25.7,7.76,160,580,20.9,7.4,9.6,4.7,83,44,53,FALSE,1610,1620,1845.9,1564,4150,184.3,271.3,2334,113.7
BiOF,mp-753160,7.14,1,5,2.215078056,2.059690623,5,5,5,3.796799898,6,0.632799983,1,1,1,103,140,133,1.9,3.44,3.98,146,73,71,209,16,18.9,15,16,17,6,2,2,1837,90.2,85.03,544.4,54.8,53.5,148,66,57,2,2,2,3,4,5,10,0,0,91.2,141,328,703,1313.9,1681,10.9,0.22,0.26,160,3.41,3.27,7.4,0.8,0.56,83,8,9,FALSE,1610,3388.3,3374.2,1564,-182.9,-188.12,271.3,-218.3,-219.6
BiPS4,mp-27133,5.84,1,5,5,2.700290331,5,2.061197166,5,11.28100014,12,0.940083345,1,1,4,103,17,184,1.9,2.19,2.58,146,106,102,209,31,32.1,15,15,16,6,3,3,1837,553.6,717.87,544.4,317.3,388.36,148,107,105,2,2,2,3,3,4,10,0,0,91.2,71,200,703,1011.8,999.6,10.9,0.64,1.73,160,12.4,9.8,7.4,3.63,2.9,83,15,16,FALSE,1610,1907,2252,1564,280.5,444.72,271.3,44.2,115.21
BiSBr,mp-23324,6.29,1,5,2.734469878,2.934554517,5,5,5,4.0625,6,0.677083333,1,1,1,103,184,196,1.9,2.58,2.96,146,102,114,209,32.1,79.9,15,16,17,6,3,4,1837,717.87,332,544.4,388.36,265.8,148,105,120,2,2,2,3,4,5,10,0,10,91.2,200,324.6,703,999.6,1139.9,10.9,1.73,5.8,160,9.8,14.8,7.4,2.9,3.05,83,16,35,FALSE,1610,2252,2103,1564,444.72,59,271.3,115.21,-7.3
BiSCl,mp-23318,6.39,1,5,2.728632036,2.787661681,5,5,5,3.987699986,6,0.664616664,1,1,1,103,184,181,1.9,2.58,3.16,146,102,99,209,32.1,35.4,15,16,17,6,3,3,1837,717.87,239.11,544.4,388.36,171.6,148,105,102,2,2,2,3,4,5,10,0,0,91.2,200,349,703,999.6,1251.2,10.9,1.73,3.2,160,9.8,10.2,7.4,2.9,2.18,83,16,17,FALSE,1610,2252,2298,1564,444.72,-34.04,271.3,115.21,-101.5
BiSeBr,mp-569707,6.07,1,5,2.864428211,2.943981048,5,5,5,4.126399994,6,0.687733332,1,1,1,103,198,196,1.9,2.55,2.96,146,116,114,209,78.9,79.9,15,16,17,6,4,4,1837,958,332,544.4,494,265.8,148,120,120,2,2,2,3,4,5,10,10,10,91.2,195,324.6,703,941,1139.9,10.9,5.4,5.8,160,26,14.8,7.4,3.77,3.05,83,34,35,FALSE,1610,2045,2103,1564,685,59,271.3,221,-7.3
BiSeCl,mp-610491,6.22,1,5,2.86621831,2.806754738,5,5,5,4.157800198,6,0.6929667,1,1,1,103,198,181,1.9,2.55,3.16,146,116,99,209,78.9,35.4,15,16,17,6,4,3,1837,958,239.11,544.4,494,171.6,148,120,102,2,2,2,3,4,5,10,10,0,91.2,195,349,703,941,1251.2,10.9,5.4,3.2,160,26,10.2,7.4,3.77,2.18,83,34,17,FALSE,1610,2045,2298,1564,685,-34.04,271.3,221,-101.5
BiSeI,mp-23020,5.93,1,5,2.873377524,3.143629911,5,5,5,4.247099876,6,0.707849979,1,1,1,103,198,220,1.9,2.55,2.66,146,116,133,209,78.9,126.9,15,16,17,6,4,5,1837,958,457.4,544.4,494,386.85,148,120,139,2,2,2,3,4,5,10,10,10,91.2,195,295.2,703,941,1008.4,10.9,5.4,7.76,160,26,20.9,7.4,3.77,4.7,83,34,53,FALSE,1610,2045,1845.9,1564,685,184.3,271.3,221,113.7
BiSI,mp-23514,6.14,1,5,2.74415835,3.135500956,5,5,5,4.192100048,6,0.698683341,1,1,1,103,184,220,1.9,2.58,2.66,146,102,133,209,32.1,126.9,15,16,17,6,3,5,1837,717.87,457.4,544.4,388.36,386.85,148,105,139,2,2,2,3,4,5,10,0,10,91.2,200,295.2,703,999.6,1008.4,10.9,1.73,7.76,160,9.8,20.9,7.4,2.9,4.7,83,16,53,FALSE,1610,2252,1845.9,1564,444.72,184.3,271.3,115.21,113.7
BPS4,mp-27724,5.51,1,5,5,1.94188192,5,2.055737819,5,5.286699772,6,0.881116629,1,1,4,27,17,184,2.04,2.19,2.58,85,106,102,10.8,31,32.1,13,15,16,2,3,3,4273,553.6,717.87,2348,317.3,388.36,85,107,105,2,2,2,1,3,4,0,0,0,26.7,71,200,800.6,1011.8,999.6,50,0.64,1.73,507,12.4,9.8,3.03,3.63,2.9,5,15,16,FALSE,2427.1,1907,2252,4000,280.5,444.72,2075,44.2,115.21
BrNO3,mp-29526,7.36,1,5,5,2.084028854,5,1.279867888,5,11.56110001,10,1.156110001,1,1,3,196,16,140,2.96,3.04,3.44,114,75,73,79.9,14,16,17,15,16,4,2,2,332,77.36,90.2,265.8,63.05,54.8,120,71,66,2,2,2,5,3,4,10,0,0,324.6,7,141,1139.9,1402.3,1313.9,5.8,0.36,0.22,14.8,2.79,3.41,3.05,1.1,0.8,35,7,8,FALSE,2103,2856,3388.3,59,-195.79,-182.9,-7.3,-210.1,-218.3
BSbO3,mp-753806,6.76,1,5,5,1.385910338,5,1.98524252,5,4.820000172,10,0.482000017,1,1,3,27,76,140,2.04,2.05,3.44,85,138,73,10.8,121.7,16,13,15,16,2,5,2,4273,1860,90.2,2348,903.78,54.8,85,139,66,2,2,2,1,3,4,0,10,0,26.7,103.2,141,800.6,834,1313.9,50,19.7,0.22,507,67,3.41,3.03,6.6,0.8,5,51,8,FALSE,2427.1,1594.9,3388.3,4000,1587,-182.9,2075,630.63,-218.3
Ga3Te3I,mp-28608,5.52,1,2.462982911,2.706347508,2.531932763,5,5,5,4.172999859,14,0.298071418,3,3,1,62,221,220,1.81,2.1,2.66,135,135,133,69.7,127.6,126.9,13,16,17,4,5,5,2477,1261,457.4,302.91,722.66,386.85,122,138,139,2,2,2,1,4,5,10,10,10,28.9,190.2,295.2,578.8,869.3,1008.4,5.59,17.5,7.76,256,48,20.9,8.12,5.5,4.7,31,52,53,FALSE,1979.3,1790,1845.9,2204,988,184.3,29.76,449.51,113.7
GaSbCl6,mp-27735,7.96,1,5,5,2.227268342,5,2.558468133,5,7.838300228,8,0.979787529,1,1,6,62,76,181,1.81,2.05,3.16,135,138,99,69.7,121.7,35.4,13,15,17,4,5,3,2477,1860,239.11,302.91,903.78,171.6,122,139,102,2,2,2,1,3,5,10,10,0,28.9,103.2,349,578.8,834,1251.2,5.59,19.7,3.2,256,67,10.2,8.12,6.6,2.18,31,51,17,FALSE,1979.3,1594.9,2298,2204,1587,-34.04,29.76,630.63,-101.5
Ge(BrF5)2,mp-27218,8.57,1,5,5,1.858420147,5,1.982442444,5,5.12349987,13,0.394115375,1,2,10,53,196,133,2.01,2.96,3.98,122,114,71,72.6,79.9,18.9,14,17,17,4,4,2,3093,332,85.03,1211.4,265.8,53.5,120,120,57,2,2,2,2,5,5,10,10,0,119,324.6,328,762,1139.9,1681,31.8,5.8,0.26,334,14.8,3.27,6.07,3.05,0.56,32,35,9,FALSE,1537.5,2103,3374.2,2820,59,-188.12,938.3,-7.3,-219.6
GePdS3,mp-541785,6.15,1,5,5,2.267466881,5,2.353721872,5,3.508500099,10,0.35085001,1,1,3,53,64,184,2.01,2.2,2.58,122,137,102,72.6,106.4,32.1,14,10,16,4,5,3,3093,3236,717.87,1211.4,1828.05,388.36,120,139,105,2,0,2,2,0,4,10,10,0,119,53.7,200,762,804.4,999.6,31.8,16.7,1.73,334,380,9.8,6.07,4.8,2.9,32,46,16,FALSE,1537.5,1870,2252,2820,2963,444.72,938.3,1554.9,115.21
H2WO5,mp-626865,6.36,1,3.315877253,5,2.026115105,5,0.980405297,1.463429822,3.924000025,16,0.245250002,1,2,5,60,37,140,1.7,2.2,3.44,139,53,73,183.8,1,16,6,1,16,6,1,2,5828,20.28,90.2,3695,14.01,54.8,162,31,66,2,1,2,0,0,4,4,0,0,78.6,72.8,141,770,1312,1313.9,35,0.56,0.22,800,0.45,3.41,11.1,0.67,0.8,74,1,8,FALSE,1700,1312,3388.3,5555,-252.87,-182.9,3422,-259.14,-218.3
HfPbS3,mp-22147,5.04,1,3.692349108,5,2.567724219,5,2.675151581,5,3.774499893,10,0.377449989,1,1,3,83,119,184,1.3,1.8,2.58,159,175,102,178.5,207.2,32.1,4,14,16,6,6,3,4876,2022,717.87,2506,600.61,388.36,175,146,105,2,2,2,0,2,4,2,10,0,0,35.1,200,658.5,715.6,999.6,25.5,4.77,1.73,630,178,9.8,16.2,6.8,2.9,72,82,16,FALSE,1440,1450.5,2252,4603,1749,444.72,2233,327.46,115.21
HfSnS3,mp-8725,5.02,1,3.671416363,5,2.558119621,5,2.591343063,5,3.683700062,10,0.368370006,1,1,3,83,45,184,1.3,1.96,2.58,159,141,102,178.5,118.7,32.1,4,14,16,6,5,3,4876,2875,717.87,2506,505.08,388.36,175,139,105,2,2,2,0,2,4,2,10,0,0,107.3,200,658.5,708.6,999.6,25.5,7,1.73,630,290,9.8,16.2,7.7,2.9,72,50,16,FALSE,1440,1411.8,2252,4603,2602,444.72,2233,231.93,115.21
Hg(IO3)2,mp-23407,7.15,1,5,5,2.319597096,5,1.853885775,5,5.545899868,18,0.308105548,1,2,6,102,220,140,1.9,2.66,3.44,151,133,73,200.6,126.9,16,12,17,16,6,5,2,629.88,457.4,90.2,234.32,386.85,54.8,132,139,66,2,2,2,0,5,4,10,10,0,0,295.2,141,1007.1,1008.4,1313.9,2.29,7.76,0.22,59.2,20.9,3.41,5.7,4.7,0.8,80,53,8,FALSE,1810,1845.9,3388.3,356.73,184.3,-182.9,-38.83,113.7,-218.3
HgClO3,mp-30937,7.33,1,2.597810858,5,2.217805485,5,1.523911138,5,6.481999874,10,0.648199987,1,1,3,102,181,140,1.9,3.16,3.44,151,99,73,200.6,35.4,16,12,17,16,6,3,2,629.88,239.11,90.2,234.32,171.6,54.8,132,102,66,2,2,2,0,5,4,10,0,0,0,349,141,1007.1,1251.2,1313.9,2.29,3.2,0.22,59.2,10.2,3.41,5.7,2.18,0.8,80,17,8,FALSE,1810,2298,3388.3,356.73,-34.04,-182.9,-38.83,-101.5,-218.3
HIO3,mp-23963,7.82,1,5,5,1.016916758,5,1.852507777,5,5.876699925,10,0.587669992,1,1,3,37,220,140,2.2,2.66,3.44,53,133,73,1,126.9,16,1,17,16,1,5,2,20.28,457.4,90.2,14.01,386.85,54.8,31,139,66,1,2,2,0,5,4,0,10,0,72.8,295.2,141,1312,1008.4,1313.9,0.56,7.76,0.22,0.45,20.9,3.41,0.67,4.7,0.8,1,53,8,FALSE,1312,1845.9,3388.3,-252.87,184.3,-182.9,-259.14,113.7,-218.3
HIO4,mp-676362,8.38,1,5,5,0.984002368,3.135768199,1.953830201,5,5.072700024,12,0.422725002,1,1,4,37,220,140,2.2,2.66,3.44,53,133,73,1,126.9,16,1,17,16,1,5,2,20.28,457.4,90.2,14.01,386.85,54.8,31,139,66,1,2,2,0,5,4,0,10,0,72.8,295.2,141,1312,1008.4,1313.9,0.56,7.76,0.22,0.45,20.9,3.41,0.67,4.7,0.8,1,53,8,FALSE,1312,1845.9,3388.3,-252.87,184.3,-182.9,-259.14,113.7,-218.3
IClO,mp-752422,6.6,1,5,2.447933875,2.035391053,5,5,5,6.614600182,9,0.734955576,1,1,1,220,181,140,2.66,3.16,3.44,133,99,73,126.9,35.4,16,17,17,16,5,3,2,457.4,239.11,90.2,386.85,171.6,54.8,139,102,66,2,2,2,5,5,4,10,0,0,295.2,349,141,1008.4,1251.2,1313.9,7.76,3.2,0.22,20.9,10.2,3.41,4.7,2.18,0.8,53,17,8,FALSE,1845.9,2298,3388.3,184.3,-34.04,-182.9,113.7,-101.5,-218.3
In3Te3I,mp-616327,5.72,1,2.801213983,2.891560288,2.70725814,5,5,5,4.411399841,14,0.315099989,3,3,1,80,221,220,1.78,2.1,2.66,167,135,133,114.8,127.6,126.9,13,16,17,5,5,5,2345,1261,457.4,429.75,722.66,386.85,142,138,139,2,2,2,1,4,5,10,10,10,28.9,190.2,295.2,558.3,869.3,1008.4,3.26,17.5,7.76,230,48,20.9,9.1,5.5,4.7,49,52,53,FALSE,1820.7,1790,1845.9,2072,988,184.3,156.6,449.51,113.7
INO3,mp-754661,6.57,1,5,5,2.229248391,5,1.27810145,5,12.09619999,10,1.209619999,1,1,3,220,16,140,2.66,3.04,3.44,133,75,73,126.9,14,16,17,15,16,5,2,2,457.4,77.36,90.2,386.85,63.05,54.8,139,71,66,2,2,2,5,3,4,10,0,0,295.2,7,141,1008.4,1402.3,1313.9,7.76,0.36,0.22,20.9,2.79,3.41,4.7,1.1,0.8,53,7,8,FALSE,1845.9,2856,3388.3,184.3,-195.79,-182.9,113.7,-210.1,-218.3
InSeI,mp-505357,6.66,1,5,2.677217391,2.701221629,5,5,5,10.40670013,24,0.433612506,1,1,1,80,198,220,1.78,2.55,2.66,167,116,133,114.8,78.9,126.9,13,16,17,5,4,5,2345,958,457.4,429.75,494,386.85,142,120,139,2,2,2,1,4,5,10,10,10,28.9,195,295.2,558.3,941,1008.4,3.26,5.4,7.76,230,26,20.9,9.1,3.77,4.7,49,34,53,FALSE,1820.7,2045,1845.9,2072,685,184.3,156.6,221,113.7
IO2F,mp-29946,8.08,1,5,1.970857096,1.948145701,5,5,5,5.778699875,8,0.722337484,1,2,1,220,140,133,2.66,3.44,3.98,133,73,71,126.9,16,18.9,17,16,17,5,2,2,457.4,90.2,85.03,386.85,54.8,53.5,139,66,57,2,2,2,5,4,5,10,0,0,295.2,141,328,1008.4,1313.9,1681,7.76,0.22,0.26,20.9,3.41,3.27,4.7,0.8,0.56,53,8,9,FALSE,1845.9,3388.3,3374.2,184.3,-182.9,-188.12,113.7,-218.3,-219.6
K2CdO2,mp-27742,2.34,1,3.69742183,3.197854657,2.605895024,3.280435543,2.263954749,5,6.320899963,10,0.632089996,2,1,2,151,95,140,0.82,1.69,3.44,227,151,73,39.1,112.4,16,1,12,16,4,5,2,1032,1040,90.2,336.53,594.22,54.8,203,144,66,1,2,2,0,0,4,0,10,0,48.4,0,141,418.8,867.8,1313.9,2.33,6.3,0.22,76.9,100,3.41,43.4,7.2,0.8,19,48,8,FALSE,3052,1631.4,3388.3,759,767,-182.9,63.38,321.07,-218.3
K2ZnO2,mp-8187,2.2,1,4.466700413,2.896895748,2.95157261,2.756599903,2.026681765,5,5.513199806,10,0.551319981,2,1,2,151,74,140,0.82,1.65,3.44,227,134,73,39.1,65.4,16,1,12,16,4,4,2,1032,1180,90.2,336.53,692.68,54.8,203,122,66,1,2,2,0,0,4,0,10,0,48.4,0,141,418.8,906.4,1313.9,2.33,7.35,0.22,76.9,119,3.41,43.4,5.6,0.8,19,30,8,FALSE,3052,1733.3,3388.3,759,907,-182.9,63.38,419.53,-218.3
Mg(CO2)2,mp-754005,6.99,1,5,5,2.054727914,1.553893358,1.270556691,5,5.417900085,7,0.773985726,1,2,4,72,16,140,1.31,2.55,3.44,160,77,73,24.3,12,16,2,14,16,3,2,2,1363,4300,90.2,923,3823,54.8,141,76,66,2,2,2,0,2,4,0,0,0,0,153.9,141,737.7,1086.5,1313.9,8.7,105,0.22,128,715,3.41,10.6,1.76,0.8,12,6,8,FALSE,1450.7,2352.6,3388.3,1090,4027,-182.9,650,3550,-218.3
Mg(IO3)2,mp-768315,7.14,1,3.202197519,5,2.11575349,5,1.841215539,5,5.270100117,18,0.29278334,1,2,6,72,220,140,1.31,2.66,3.44,160,133,73,24.3,126.9,16,2,17,16,3,5,2,1363,457.4,90.2,923,386.85,54.8,141,139,66,2,2,2,0,5,4,0,10,0,0,295.2,141,737.7,1008.4,1313.9,8.7,7.76,0.22,128,20.9,3.41,10.6,4.7,0.8,12,53,8,FALSE,1450.7,1845.9,3388.3,1090,184.3,-182.9,650,113.7,-218.3
MgInBr3,mp-29483,5.77,1,5,5,2.715926488,5,2.972109591,5,4.002299786,10,0.400229979,1,1,3,72,80,196,1.31,1.78,2.96,160,167,114,24.3,114.8,79.9,2,13,17,3,5,4,1363,2345,332,923,429.75,265.8,141,142,120,2,2,2,0,1,5,0,10,10,0,28.9,324.6,737.7,558.3,1139.9,8.7,3.26,5.8,128,230,14.8,10.6,9.1,3.05,12,49,35,FALSE,1450.7,1820.7,2103,1090,2072,59,650,156.6,-7.3
Mo(HO2)2,mp-626577,7.92,1,3.464089007,5,2.032860506,5,0.979977653,5,3.73119998,14,0.266514284,1,2,4,59,37,140,2.16,2.2,3.44,139,53,73,95.9,1,16,6,1,16,5,1,2,4912,20.28,90.2,2896,14.01,54.8,154,31,66,1,1,2,0,0,4,5,0,0,71.9,72.8,141,684.3,1312,1313.9,36,0.56,0.22,600,0.45,3.41,12.8,0.67,0.8,42,1,8,FALSE,1560,1312,3388.3,4639,-252.87,-182.9,2623,-259.14,-218.3
Mo2Cl8O,mp-653062,6.01,1,3.49675206,2.37758464,1.9075221,5,5,5,10.01309967,22,0.455140894,2,8,1,59,181,140,2.16,3.16,3.44,139,99,73,95.9,35.4,16,6,17,16,5,3,2,4912,239.11,90.2,2896,171.6,54.8,154,102,66,1,2,2,0,5,4,5,0,0,71.9,349,141,684.3,1251.2,1313.9,36,3.2,0.22,600,10.2,3.41,12.8,2.18,0.8,42,17,8,FALSE,1560,2298,3388.3,4639,-34.04,-182.9,2623,-101.5,-218.3
Mo2NCl7,mp-542135,6.12,1,2.782543424,1.860319566,2.425956804,5,5,5,12.25959969,20,0.612979984,2,1,7,59,16,181,2.16,3.04,3.16,139,75,99,95.9,14,35.4,6,15,17,5,2,3,4912,77.36,239.11,2896,63.05,171.6,154,71,102,1,2,2,0,3,5,5,0,0,71.9,7,349,684.3,1402.3,1251.2,36,0.36,3.2,600,2.79,10.2,12.8,1.1,2.18,42,7,17,FALSE,1560,2856,2298,4639,-195.79,-34.04,2623,-210.1,-101.5
Mo2NCl8,mp-680309,6.1,1,5,1.886495515,2.401287623,5,5,5,10.24670029,22,0.465759104,2,1,8,59,16,181,2.16,3.04,3.16,139,75,99,95.9,14,35.4,6,15,17,5,2,3,4912,77.36,239.11,2896,63.05,171.6,154,71,102,1,2,2,0,3,5,5,0,0,71.9,7,349,684.3,1402.3,1251.2,36,0.36,3.2,600,2.79,10.2,12.8,1.1,2.18,42,7,17,FALSE,1560,2856,2298,4639,-195.79,-34.04,2623,-210.1,-101.5
Mo3N2Cl11,mp-680300,6.15,1,5,1.890892768,2.420442749,5,5,5,13.34759998,32,0.417112499,3,2,11,59,16,181,2.16,3.04,3.16,139,75,99,95.9,14,35.4,6,15,17,5,2,3,4912,77.36,239.11,2896,63.05,171.6,154,71,102,1,2,2,0,3,5,5,0,0,71.9,7,349,684.3,1402.3,1251.2,36,0.36,3.2,600,2.79,10.2,12.8,1.1,2.18,42,7,17,FALSE,1560,2856,2298,4639,-195.79,-34.04,2623,-210.1,-101.5
